qid,group,instruction_type,run,step,bleurt_baseline,bleurt_consecutive,bleurt_answer
./cnn/stories/d9ea64de844086c1430636ce80cd2849e3fb25e7.story,style,formality,0,1,0.6314597129821777,0.6314597129821777,0.08292081952095032
./cnn/stories/d9ea64de844086c1430636ce80cd2849e3fb25e7.story,style,formality,0,2,0.5850777626037598,0.7363830208778381,0.1143377497792244
./cnn/stories/d9ea64de844086c1430636ce80cd2849e3fb25e7.story,style,formality,0,3,0.5773827433586121,0.7714583277702332,0.09156153351068497
./cnn/stories/d9ea64de844086c1430636ce80cd2849e3fb25e7.story,style,formality,1,1,0.6356580853462219,0.6356580853462219,0.08292081952095032
./cnn/stories/d9ea64de844086c1430636ce80cd2849e3fb25e7.story,style,formality,1,2,0.573582112789154,0.7307782173156738,0.35967928171157837
./cnn/stories/d9ea64de844086c1430636ce80cd2849e3fb25e7.story,style,formality,1,3,0.5625050067901611,0.7912023663520813,0.3305622935295105
./cnn/stories/d9ea64de844086c1430636ce80cd2849e3fb25e7.story,style,formality,2,1,0.6563219428062439,0.6563219428062439,0.2652101516723633
./cnn/stories/d9ea64de844086c1430636ce80cd2849e3fb25e7.story,style,formality,2,2,0.5575771927833557,0.8068658709526062,0.3147675395011902
./cnn/stories/d9ea64de844086c1430636ce80cd2849e3fb25e7.story,style,formality,2,3,0.5119436383247375,0.8194725513458252,0.2985154390335083
./cnn/stories/d9ea64de844086c1430636ce80cd2849e3fb25e7.story,style,paraphrase,0,1,0.5014678835868835,0.5014678835868835,0.28099963068962097
./cnn/stories/d9ea64de844086c1430636ce80cd2849e3fb25e7.story,style,paraphrase,0,2,0.49722105264663696,0.7467764019966125,0.23131266236305237
./cnn/stories/d9ea64de844086c1430636ce80cd2849e3fb25e7.story,style,paraphrase,0,3,0.4777517318725586,0.7690144181251526,0.26417437195777893
./cnn/stories/d9ea64de844086c1430636ce80cd2849e3fb25e7.story,style,paraphrase,1,1,0.5699948668479919,0.5699948668479919,0.16456995904445648
./cnn/stories/d9ea64de844086c1430636ce80cd2849e3fb25e7.story,style,paraphrase,1,2,0.5077112317085266,0.7045459747314453,0.2285902053117752
./cnn/stories/d9ea64de844086c1430636ce80cd2849e3fb25e7.story,style,paraphrase,1,3,0.4908275008201599,0.7158130407333374,0.25046128034591675
./cnn/stories/d9ea64de844086c1430636ce80cd2849e3fb25e7.story,style,paraphrase,2,1,0.6411954760551453,0.6411954760551453,0.15102198719978333
./cnn/stories/d9ea64de844086c1430636ce80cd2849e3fb25e7.story,style,paraphrase,2,2,0.6623767018318176,0.7227853536605835,0.15972402691841125
./cnn/stories/d9ea64de844086c1430636ce80cd2849e3fb25e7.story,style,paraphrase,2,3,0.5889740586280823,0.7375447154045105,0.31091874837875366
./cnn/stories/d9ea64de844086c1430636ce80cd2849e3fb25e7.story,content,shorten,0,1,0.5524809956550598,0.5524809956550598,0.15828195214271545
./cnn/stories/d9ea64de844086c1430636ce80cd2849e3fb25e7.story,content,shorten,0,2,0.43411386013031006,0.6694400906562805,0.28319495916366577
./cnn/stories/d9ea64de844086c1430636ce80cd2849e3fb25e7.story,content,shorten,0,3,0.45101892948150635,0.732562243938446,0.2605442702770233
./cnn/stories/d9ea64de844086c1430636ce80cd2849e3fb25e7.story,content,shorten,1,1,0.4837692379951477,0.4837692379951477,0.30758383870124817
./cnn/stories/d9ea64de844086c1430636ce80cd2849e3fb25e7.story,content,shorten,1,2,0.4574395418167114,0.7288345694541931,0.28934013843536377
./cnn/stories/d9ea64de844086c1430636ce80cd2849e3fb25e7.story,content,shorten,1,3,0.4413820505142212,0.7454312443733215,0.30050331354141235
./cnn/stories/d9ea64de844086c1430636ce80cd2849e3fb25e7.story,content,shorten,2,1,0.5544349551200867,0.5544349551200867,0.2548133134841919
./cnn/stories/d9ea64de844086c1430636ce80cd2849e3fb25e7.story,content,shorten,2,2,0.5417436957359314,0.711719274520874,0.35635197162628174
./cnn/stories/d9ea64de844086c1430636ce80cd2849e3fb25e7.story,content,shorten,2,3,0.41533440351486206,0.7733083367347717,0.3873143196105957
./cnn/stories/d9ea64de844086c1430636ce80cd2849e3fb25e7.story,content,elaborate,0,1,0.5426313281059265,0.5426313281059265,0.13934817910194397
./cnn/stories/d9ea64de844086c1430636ce80cd2849e3fb25e7.story,content,elaborate,0,2,0.3774917423725128,0.6139580011367798,0.5456278920173645
./cnn/stories/d9ea64de844086c1430636ce80cd2849e3fb25e7.story,content,elaborate,0,3,0.39954909682273865,0.607886791229248,0.5029158592224121
./cnn/stories/d9ea64de844086c1430636ce80cd2849e3fb25e7.story,content,elaborate,1,1,0.5067123174667358,0.5067123174667358,0.16889820992946625
./cnn/stories/d9ea64de844086c1430636ce80cd2849e3fb25e7.story,content,elaborate,1,2,0.4544033408164978,0.6180413961410522,0.36065351963043213
./cnn/stories/d9ea64de844086c1430636ce80cd2849e3fb25e7.story,content,elaborate,1,3,0.4163356423377991,0.5878883004188538,0.40834230184555054
./cnn/stories/d9ea64de844086c1430636ce80cd2849e3fb25e7.story,content,elaborate,2,1,0.5817569494247437,0.5817569494247437,0.29377710819244385
